Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
λ=1e-05,10.0%,2.964e-02,2.694e-02,2.694e-02,219,1027,4.69,2.190,10.270,4.69,21.900,102.700,4.69,219,1027,4.69,2190,1.027e+04,4.69,2.190e+04,1.027e+05,4.69,2.190e+05,1.027e+06,4.69,2.190e+06,1.027e+07,4.69
λ=1e-05,1.0%,2.721e-02,2.694e-02,2.694e-02,246,1315,5.35,2.460,13.150,5.35,24.600,131.500,5.35,246,1315,5.35,2460,1.315e+04,5.35,2.460e+04,1.315e+05,5.35,2.460e+05,1.315e+06,5.35,2.460e+06,1.315e+07,5.35
λ=1e-05,0.10%,2.697e-02,2.694e-02,2.694e-02,1758,1405,0.80,17.580,14.050,0.80,175.800,140.500,0.80,1758,1405,0.80,1.758e+04,1.405e+04,0.80,1.758e+05,1.405e+05,0.80,1.758e+06,1.405e+06,0.80,1.758e+07,1.405e+07,0.80
λ=1e-06,10.0%,1.712e-03,1.556e-03,1.556e-03,844,793,0.94,8.440,7.930,0.94,84.400,79.300,0.94,844,793,0.94,8440,7930,0.94,8.440e+04,7.930e+04,0.94,8.440e+05,7.930e+05,0.94,8.440e+06,7.930e+06,0.94
λ=1e-06,1.0%,1.572e-03,1.556e-03,1.556e-03,880,802,0.91,8.800,8.020,0.91,88.000,80.200,0.91,880,802,0.91,8800,8020,0.91,8.800e+04,8.020e+04,0.91,8.800e+05,8.020e+05,0.91,8.800e+06,8.020e+06,0.91
λ=1e-06,0.10%,1.558e-03,1.556e-03,1.556e-03,889,811,0.91,8.890,8.110,0.91,88.900,81.100,0.91,889,811,0.91,8890,8110,0.91,8.890e+04,8.110e+04,0.91,8.890e+05,8.110e+05,0.91,8.890e+06,8.110e+06,0.91
λ=1e-07,10.0%,5.870e-05,5.336e-05,5.336e-05,381,388,1.02,3.810,3.880,1.02,38.100,38.800,1.02,381,388,1.02,3810,3880,1.02,3.810e+04,3.880e+04,1.02,3.810e+05,3.880e+05,1.02,3.810e+06,3.880e+06,1.02
λ=1e-07,1.0%,5.390e-05,5.336e-05,5.336e-05,2127,1396,0.66,21.270,13.960,0.66,212.700,139.600,0.66,2127,1396,0.66,2.127e+04,1.396e+04,0.66,2.127e+05,1.396e+05,0.66,2.127e+06,1.396e+06,0.66,2.127e+07,1.396e+07,0.66
λ=1e-07,0.10%,5.342e-05,5.336e-05,5.336e-05,21918,1432,0.07,219.180,14.320,0.07,2191.800,143.200,0.07,2.192e+04,1432,0.07,2.192e+05,1.432e+04,0.07,2.192e+06,1.432e+05,0.07,2.192e+07,1.432e+06,0.07,2.192e+08,1.432e+07,0.07
λ=1e-08,10.0%,8.961e-06,8.149e-06,8.146e-06,2722,523,0.19,27.220,5.230,0.19,272.200,52.300,0.19,2722,523,0.19,2.722e+04,5230,0.19,2.722e+05,5.230e+04,0.19,2.722e+06,5.230e+05,0.19,2.722e+07,5.230e+06,0.19
λ=1e-08,1.0%,8.228e-06,8.149e-06,8.146e-06,12424,11485,0.92,124.240,114.850,0.92,1242.400,1148.500,0.92,1.242e+04,1.148e+04,0.92,1.242e+05,1.148e+05,0.92,1.242e+06,1.148e+06,0.92,1.242e+07,1.148e+07,0.92,1.242e+08,1.148e+08,0.92
λ=1e-08,0.10%,8.154e-06,8.149e-06,8.146e-06,18553,11503,0.62,185.530,115.030,0.62,1855.300,1150.300,0.62,1.855e+04,1.150e+04,0.62,1.855e+05,1.150e+05,0.62,1.855e+06,1.150e+06,0.62,1.855e+07,1.150e+07,0.62,1.855e+08,1.150e+08,0.62
