Configuration,Tolerance,TargetCost,BayesianFinalCost,MultiFinalCost,BayesianEvalsToTarget,MultiEvalsToTarget,EvalSpeedup_MultiOverBay,BayesTime@tau=0.01s,MultiTime@tau=0.01s,TimeSpeedup@tau=0.01s,BayesTime@tau=0.10s,MultiTime@tau=0.10s,TimeSpeedup@tau=0.10s,BayesTime@tau=1.0s,MultiTime@tau=1.0s,TimeSpeedup@tau=1.0s,BayesTime@tau=10.0s,MultiTime@tau=10.0s,TimeSpeedup@tau=10.0s,BayesTime@tau=100.0s,MultiTime@tau=100.0s,TimeSpeedup@tau=100.0s,BayesTime@tau=1000.0s,MultiTime@tau=1000.0s,TimeSpeedup@tau=1000.0s,BayesTime@tau=10000.0s,MultiTime@tau=10000.0s,TimeSpeedup@tau=10000.0s
"2 coils, λ=1e-05",10.0%,3.582e-02,3.256e-02,3.256e-02,79,266,3.37,0.790,2.660,3.37,7.900,26.600,3.37,79,266,3.37,790,2660,3.37,7900,2.660e+04,3.37,7.900e+04,2.660e+05,3.37,7.900e+05,2.660e+06,3.37
"2 coils, λ=1e-05",1.0%,3.289e-02,3.256e-02,3.256e-02,203,276,1.36,2.030,2.760,1.36,20.300,27.600,1.36,203,276,1.36,2030,2760,1.36,2.030e+04,2.760e+04,1.36,2.030e+05,2.760e+05,1.36,2.030e+06,2.760e+06,1.36
"2 coils, λ=1e-05",0.10%,3.260e-02,3.256e-02,3.256e-02,208,286,1.38,2.080,2.860,1.38,20.800,28.600,1.38,208,286,1.38,2080,2860,1.38,2.080e+04,2.860e+04,1.38,2.080e+05,2.860e+05,1.38,2.080e+06,2.860e+06,1.38
"2 coils, λ=1e-06",10.0%,6.551e-03,5.956e-03,5.956e-03,239,116,0.49,2.390,1.160,0.49,23.900,11.600,0.49,239,116,0.49,2390,1160,0.49,2.390e+04,1.160e+04,0.49,2.390e+05,1.160e+05,0.49,2.390e+06,1.160e+06,0.49
"2 coils, λ=1e-06",1.0%,6.015e-03,5.956e-03,5.956e-03,249,126,0.51,2.490,1.260,0.51,24.900,12.600,0.51,249,126,0.51,2490,1260,0.51,2.490e+04,1.260e+04,0.51,2.490e+05,1.260e+05,0.51,2.490e+06,1.260e+06,0.51
"2 coils, λ=1e-06",0.10%,5.961e-03,5.956e-03,5.956e-03,254,131,0.52,2.540,1.310,0.52,25.400,13.100,0.52,254,131,0.52,2540,1310,0.52,2.540e+04,1.310e+04,0.52,2.540e+05,1.310e+05,0.52,2.540e+06,1.310e+06,0.52
"2 coils, λ=1e-07",10.0%,3.218e-03,2.925e-03,2.925e-03,244,171,0.70,2.440,1.710,0.70,24.400,17.100,0.70,244,171,0.70,2440,1710,0.70,2.440e+04,1.710e+04,0.70,2.440e+05,1.710e+05,0.70,2.440e+06,1.710e+06,0.70
"2 coils, λ=1e-07",1.0%,2.955e-03,2.925e-03,2.925e-03,249,241,0.97,2.490,2.410,0.97,24.900,24.100,0.97,249,241,0.97,2490,2410,0.97,2.490e+04,2.410e+04,0.97,2.490e+05,2.410e+05,0.97,2.490e+06,2.410e+06,0.97
"2 coils, λ=1e-07",0.10%,2.928e-03,2.925e-03,2.925e-03,254,246,0.97,2.540,2.460,0.97,25.400,24.600,0.97,254,246,0.97,2540,2460,0.97,2.540e+04,2.460e+04,0.97,2.540e+05,2.460e+05,0.97,2.540e+06,2.460e+06,0.97
"2 coils, λ=1e-08",10.0%,3.148e-03,2.862e-03,2.862e-03,220,551,2.50,2.200,5.510,2.50,22.000,55.100,2.50,220,551,2.50,2200,5510,2.50,2.200e+04,5.510e+04,2.50,2.200e+05,5.510e+05,2.50,2.200e+06,5.510e+06,2.50
"2 coils, λ=1e-08",1.0%,2.891e-03,2.862e-03,2.862e-03,280,561,2.00,2.800,5.610,2.00,28.000,56.100,2.00,280,561,2.00,2800,5610,2.00,2.800e+04,5.610e+04,2.00,2.800e+05,5.610e+05,2.00,2.800e+06,5.610e+06,2.00
"2 coils, λ=1e-08",0.10%,2.865e-03,2.862e-03,2.862e-03,285,561,1.97,2.850,5.610,1.97,28.500,56.100,1.97,285,561,1.97,2850,5610,1.97,2.850e+04,5.610e+04,1.97,2.850e+05,5.610e+05,1.97,2.850e+06,5.610e+06,1.97
"3 coils, λ=1e-05",10.0%,3.171e-02,2.883e-02,2.883e-02,196,624,3.18,1.960,6.240,3.18,19.600,62.400,3.18,196,624,3.18,1960,6240,3.18,1.960e+04,6.240e+04,3.18,1.960e+05,6.240e+05,3.18,1.960e+06,6.240e+06,3.18
"3 coils, λ=1e-05",1.0%,2.912e-02,2.883e-02,2.883e-02,224,624,2.79,2.240,6.240,2.79,22.400,62.400,2.79,224,624,2.79,2240,6240,2.79,2.240e+04,6.240e+04,2.79,2.240e+05,6.240e+05,2.79,2.240e+06,6.240e+06,2.79
"3 coils, λ=1e-05",0.10%,2.886e-02,2.883e-02,2.883e-02,364,673,1.85,3.640,6.730,1.85,36.400,67.300,1.85,364,673,1.85,3640,6730,1.85,3.640e+04,6.730e+04,1.85,3.640e+05,6.730e+05,1.85,3.640e+06,6.730e+06,1.85
"3 coils, λ=1e-06",10.0%,3.063e-03,2.785e-03,2.785e-03,259,449,1.73,2.590,4.490,1.73,25.900,44.900,1.73,259,449,1.73,2590,4490,1.73,2.590e+04,4.490e+04,1.73,2.590e+05,4.490e+05,1.73,2.590e+06,4.490e+06,1.73
"3 coils, λ=1e-06",1.0%,2.813e-03,2.785e-03,2.785e-03,490,477,0.97,4.900,4.770,0.97,49.000,47.700,0.97,490,477,0.97,4900,4770,0.97,4.900e+04,4.770e+04,0.97,4.900e+05,4.770e+05,0.97,4.900e+06,4.770e+06,0.97
